"Peptide","Precursor Mz","NN_Cell_7_05 Area","NN_Cell_8_07 Area","NN_Cell_11_04 Area","NN_Cell_3_08 Area","NN_Cell_6_06 Area","NN_Cell_10_09 Area","NN_Cell_QC_1_02 Area","NN_Cell_QC_2_03 Area","NN_Cell_QC_3_10 Area","NN_Cell_Blank_2_13 Area"
"Glycine",74.024752,38333144,24641996,32514978,22529370,25760238,20922172,27310108,25343944,23781960,284543
"Glycine",75.028107,733316,456142,612584,472731,517847,426306,531767,500381,454893,50128
"Glycine",76.031462,3728,2141,6529,2714,5312,9467,9007,7511,3098,0
"Pyruvate",87.008768,46394948,16827240,25020696,14585046,19957516,9765364,19843820,19555978,17588196,2107617
"Pyruvate",88.012123,1501917,528752,759867,485869,660362,262770,681676,577935,549211,103919
"Pyruvate",89.015478,295643,58797,124911,112793,118549,46533,83166,72739,86820,15028
"Pyruvate",90.018833,591575,257478,458389,184934,242604,46503,258023,280031,222443,1969
"Alanine",88.040403,38252232,33242446,40449492,32460698,32589722,22499080,32067298,31320324,30764078,355693
"Alanine",89.043757,3088064,1800590,2684679,1901211,1911502,1521699,2145392,1860963,1977319,155427
"Alanine",90.047112,2794881,1754188,2732867,1364082,1479448,1509422,1722114,1657695,1557259,0
"Alanine",91.050467,15844316,9140763,13306389,7786696,8598098,8812981,9821440,9487932,8847896,152337
"Lactate",89.024418,1972457088,1648081920,1963610112,752674240,887132352,902123648,1505612288,1445115904,1265816448,53682368
"Lactate",90.027773,65511644,53944800,65116892,24957978,30975412,29830258,48734544,48360196,40620248,1440478
"Lactate",91.031128,4635344,5193215,6003366,3157776,3545882,3701667,5875838,4897938,4608902,437621
"Lactate",92.034483,10444032,8414141,10714077,5209402,6904147,4109872,7147508,7186769,6515637,83454
"Serine",104.035317,38745008,25249764,31198896,18583432,23316932,25497334,25984536,25358806,22819600,224659
"Serine",105.038672,1016507,734419,811157,435117,611602,566580,611393,593416,594017,8105
"Serine",106.042027,45762,102397,204038,52690,77783,88356,87257,1805,118872,2835
"Serine",107.045382,6860,4296,5496,12296,10213,14727,1869,5090,16926,12302
"phosphoenol pyruvate",166.975099,984927,463441,891806,582373,470376,302466,532467,459385,434021,0
"phosphoenol pyruvate",167.978454,5826,0,0,0,0,0,0,0,0,0
"phosphoenol pyruvate",168.981809,0,2188,0,0,0,0,0,0,0,0
"phosphoenol pyruvate",169.985163,0,0,0,0,0,0,0,0,0,0
"DHAP",168.990749,6738818,3713431,6899997,9764215,10859183,3567366,6758224,6161708,5146471,474
"DHAP",169.994104,141411,66820,131602,273584,271795,42246,155962,130814,97995,0
"DHAP",170.997459,37037,81072,26232,97385,104760,98719,73258,97508,78504,45341
"DHAP",172.000814,2153,0,0,0,4079,0,1578,0,0,0
"2-PG",184.985664,360594,172059,421497,198154,168392,111410,201302,189187,182869,0
"2-PG",185.989018,2199,0,0,1811,0,0,0,0,0,0
"2-PG",186.992373,0,0,0,0,0,0,0,0,0,0
"2-PG",187.995728,0,0,0,0,0,0,0,0,0,0
"3-PG",184.985664,2900671,1487438,3414532,1431849,1584285,870613,1399466,1394401,1296623,0
"3-PG",185.989018,42850,8366,68478,5381,22159,5766,19753,3827,8454,0
"3-PG",186.992373,843,0,676,376,0,0,0,0,0,0
"3-PG",187.995728,0,0,0,0,0,0,2250,0,0,0
"Glycerol 3-phosphate",171.006399,158532944,151357344,134133088,141100048,139837904,122271696,127220312,126465408,135055968,295436
"Glycerol 3-phosphate",172.009754,4337178,4184924,3585084,4043254,3925882,3398222,3531553,3500542,3763678,0
"Glycerol 3-phosphate",173.013109,14437,16002,22136,15339,6332,16949,11541,26923,14519,0
"Glycerol 3-phosphate",174.016464,0,0,0,0,0,0,0,0,0,0
"Fumarate",115.003683,2423443,2309100,2721059,1707518,1990777,1071723,1895473,1708616,1948702,103388
"Fumarate",116.007037,554809,313272,419144,303345,288850,162300,295631,238582,244268,0
"Fumarate",117.010392,1868425,961915,1384364,908309,928487,550899,910331,814706,857602,31005
"Fumarate",118.013747,1320394,936950,1273908,822014,833068,508965,823992,827756,776975,3684
"Fumarate",119.017102,9182711,5345631,7444336,4947359,5016335,3551807,5041050,4992620,4913740,2000
"Malate",133.014247,32770272,33551038,40974444,29241840,31658294,17635606,30047576,28495382,26482444,767192
"Malate",134.017602,9571494,5614401,7613420,5501799,5737206,3095572,5487173,5304995,4823395,7410
"Malate",135.020957,29526748,16198657,23476566,15605519,16218123,10012284,16480692,15707114,14321951,13371
"Malate",136.024312,21043418,16060711,20976530,13458537,14440389,9397786,14696247,14022023,12910064,7741
"Malate",137.027667,133157880,80211440,108781112,77948416,83181624,57240900,81715408,77719840,71743112,6811
"Aspartate",132.030232,49038640,44288980,58099352,33941348,36905248,28137228,40981244,38538692,37668540,577449
"Aspartate",133.033587,12268907,6798605,10071600,5827275,6065180,4951049,7078374,6582929,6281997,30804
"Aspartate",134.036941,37850996,19707860,29994246,16885012,17408252,16357469,20747916,19591256,18778198,53964
"Aspartate",135.040296,31821482,22804850,32914468,17074638,18455442,18809642,22169998,21139178,20468624,9027
"Aspartate",136.043651,170050528,95605952,141407968,81522616,88129136,93821560,101560944,97915408,93039824,0
"Threonine",118.050967,105699392,96400216,106272352,57841068,80084240,88993432,87455328,84473536,78022600,242498
"Threonine",119.054322,4143726,3598336,3958847,2281106,3090311,3202242,3343534,2921357,3129591,28614
"Threonine",120.057677,150470,92657,24074,21210,44781,39361,108962,150063,77347,144159
"Threonine",121.061032,3177,10251,0,3333,0,4608,4434,2640,1960,20921
"Threonine",122.064387,0,0,0,0,0,0,0,0,0,0
"R5P",229.011878,49405508,33133090,39983040,26549142,32415376,11332868,31008286,29722680,25834850,0
"R5P",230.015233,2415862,1553214,1868751,1256193,1530269,505235,1468593,1359147,1183046,0
"R5P",231.018588,320792,180770,245425,161622,195848,51338,186882,159318,155314,0
"R5P",232.021943,0,0,0,967,496,0,1747,0,0,0
"R5P",233.025298,0,0,0,0,0,0,0,0,0,0
"R5P",234.028653,2912,401,0,0,0,0,0,0,0,0
"a-KG",145.014247,2192808,1818178,2135954,1603483,1789881,692724,1677369,1630153,1481334,25705
"a-KG",146.017602,552109,219533,282807,277798,256043,41932,244617,211812,200000,0
"a-KG",147.020957,548769,159403,340334,157214,275777,34527,263329,168259,99071,6112
"a-KG",148.024312,3237636,1379743,1963035,1544638,1576199,524231,1441351,1402112,1201274,928
"a-KG",149.027667,781434,519198,589592,388415,410863,141684,441696,434998,372233,2251
"a-KG",150.031022,16306686,8618566,11066419,8880956,8946154,3748737,8259684,8512317,7265547,6027
"Glutamate",146.045882,173617232,199963568,249006848,177076336,195289744,129747776,185585808,177619104,167095648,1466520
"Glutamate",147.049237,55567808,36034808,49302524,34625688,37107000,27018860,36897248,35445284,32931412,37944
"Glutamate",148.052592,63980128,41247124,57272164,38256400,40797464,31129268,41812956,40837708,37242128,84009
"Glutamate",149.055946,285459680,171814304,240943744,167752592,180846032,152176976,185021440,176802832,165736048,65092
"Glutamate",150.059301,71568448,46603612,62351628,45653396,50076660,44057144,49580248,46932904,44469972,0
